Id,CaseId,Title,Description,Category,Order,Points,Flag,RequiredChallengeId,HasVM,DockerImage,VMConnectionInfo,Files,Hints,UnlockContent,CreatedAt
1,1,Güvenlik Kamerası Kaydı,Olay gecesi güvenlik kamerası kaydını analiz edin. Video dosyasında şüpheli bir kişi görülüyor. Kim olduğunu bulun.,OSINT,1,100,CTF{sarah_johnson_23:15},,0,,,"[{""name"":""security_cam_23_00.mp4"",""url"":""/evidence/case1/security_cam.mp4"",""type"":""video""}]","[{""Text"":""Kamera kaydının 23:15 dakikasına dikkat edin"",""PenaltyPercent"":10},{""Text"":""Şüpheli kişinin yaka kartına bakın"",""PenaltyPercent"":25}]","{""reportSection"":{""title"":""ŞÜPHELİ TESPİT EDİLDİ"",""type"":""suspect"",""content"":""Güvenlik kamerası analizi sonucunda 23:15'te binaya giren kişi tespit edildi. Yaka kartında 'Sarah Johnson - CFO' yazmaktadır. Şirketin mali işlerinden sorumlu olan Johnson, olay gecesi binada bulunduğunu inkâr etmişti.""},""boardSuspect"":{""name"":""Sarah Johnson"",""role"":""CFO"",""motive"":""Henüz belirsiz — mali kayıtlar incelenmeli""}}",2026-04-21 23:52:16.0878363
2,1,Sistem Log Analizi,Maktulün bilgisayarından alınan sistem loglarını inceleyin. Şüpheli aktiviteler var.,Forensics,2,150,CTF{192.168.1.100_unauthorized_access},1,0,,,"[{""name"":""system.log"",""url"":""/evidence/case1/system.log"",""type"":""document""}]","[{""Text"":""grep komutuyla 'FAILED' kelimesini arayın"",""PenaltyPercent"":10},{""Text"":""192.168.1.x aralığındaki IP'lere bakın"",""PenaltyPercent"":20}]","{""reportSection"":{""title"":""YETKİSİZ ERİŞİM TESPİT EDİLDİ"",""type"":""evidence"",""content"":""Sistem logları incelendi. 192.168.1.100 IP adresinden gece 23:10-23:22 arasında CEO'nun bilgisayarına 14 başarısız giriş denemesi yapılmış, ardından 23:23'te erişim sağlanmıştır. Bu IP adresi şirket içi ağa aittir.""},""boardNote"":{""title"":""Kritik IP: 192.168.1.100"",""text"":""23:10-23:22 arası 14 başarısız giriş\n23:23'te erişim sağlandı\nŞirket içi ağ — kimin bilgisayarı?""}}",2026-04-21 23:52:16.0878539
3,1,Şirket SSH Sunucusu,192.168.1.100 adresindeki SSH sunucusuna erişim sağlayın. Çalışan kayıtlarına ulaşın.,Web,3,250,CTF{employee_access_granted},2,1,detectivectf/ssh-target:latest,"{""port"":22,""username"":""admin"",""hint"":""Default credentials""}",,"[{""Text"":""Varsayılan şifreler genellikle admin:admin veya admin:password olur"",""PenaltyPercent"":15},{""Text"":""SSH bağlantısı için: ssh admin@192.168.1.100"",""PenaltyPercent"":30}]","{""reportSection"":{""title"":""ÇALIŞAN KAYITLARINA ERİŞİLDİ"",""type"":""document"",""content"":""SSH sunucusuna erişim sağlandı. Çalışan kayıtları incelendi. Sarah Johnson'ın bilgisayarına (192.168.1.100) olay gecesi 23:10'da uzaktan bağlandığı tespit edildi. Ayrıca 'financial_report_Q3_DELETED.xlsx' adlı silinmiş bir dosya bulundu.""},""boardNote"":{""title"":""Silinmiş Dosya Bulundu"",""text"":""financial_report_Q3_DELETED.xlsx\nSilme tarihi: Olay gecesi 23:25\nKim sildi: s.johnson""}}",2026-04-21 23:52:16.0878628
4,1,Şifreli Email Mesajı,Maktulün email hesabında şifreli bir mesaj bulundu. Şifreyi çözün.,Crypto,4,200,CTF{financial_fraud_exposed},3,0,,,"[{""name"":""encrypted_email.txt"",""url"":""/evidence/case1/encrypted.txt"",""type"":""document""}]","[{""Text"":""Caesar cipher ile şifrelenmiş olabilir"",""PenaltyPercent"":10},{""Text"":""ROT13 deneyin"",""PenaltyPercent"":25}]","{""reportSection"":{""title"":""ŞİFRELİ MESAJ ÇÖZÜLDÜ — MALİ DOLANDIRICILIK"",""type"":""evidence"",""content"":""Şifreli email çözüldü. Mesaj içeriği: 'John her şeyi biliyor. Q3 raporunu imha et, yoksa ikimiz de biteriz. — S.J.' Mesaj, Sarah Johnson'ın kişisel email hesabından CEO'nun özel asistanı Michael Reed'e gönderilmiştir. Gönderim tarihi: Olay gününden 3 saat önce.""},""boardNote"":{""title"":""Şifreli Mesaj İçeriği"",""text"":""Gönderen: s.johnson@şirket.com\nAlıcı: m.reed@şirket.com\n'John her şeyi biliyor. Q3 raporunu imha et'\nGönderim: Olay gününden 3 saat önce""}}",2026-04-21 23:52:16.0878709
5,1,Katili Tespit Et,Tüm delilleri topladınız. Şimdi katili bulma zamanı. Katilin tam adını girin.,Final,5,800,CTF{Sarah_Johnson},4,0,,,,"[{""Text"":""Güvenlik kamerasında gördüğünüz kişiyi hatırlayın"",""PenaltyPercent"":20}]","{""reportSection"":{""title"":""DAVA KAPATILDI — KATİL TESPİT EDİLDİ"",""type"":""suspect"",""content"":""Tüm dijital deliller Sarah Johnson'ı işaret etmektedir. Güvenlik kamerası kaydı, sistem logları, SSH erişim kayıtları ve şifreli email mesajı birlikte değerlendirildiğinde Johnson'ın CEO John Smith'i mali dolandırıcılığını örtbas etmek amacıyla öldürdüğü sonucuna varılmıştır. Tutuklama kararı çıkarıldı.""}}",2026-04-21 23:52:16.0878802
8,4,Sosyal Medya Analizi,Marcus Webbin LinkedIn profilini analiz edin. Olumunden 48 saat once supheyli bir kisiyle iletisime gecmis. O kisinin kullanici adini bulun.,OSINT,1,100,CTF{@d4rk_h4ck3r_99},,0,,,,,"{""reportSection"":{""title"":""SUPHEYLI DIJITAL TEMAS"",""type"":""evidence"",""content"":""@d4rk_h4ck3r_99 kullanicisiyla DM trafigi tespit edildi. Hesap olumden sonra silindi.""},""boardNote"":{""title"":""Supheyli Hesap"",""text"":""@d4rk_h4ck3r_99\nHesap olumden sonra silindi""}}",2026-04-22 00:05:33.5141611
9,4,Email Analizi,Marcus un is emaillerinden bir .eml dosyasi ele gecirildi. Base64 encoded attachment incelenmeli.,Forensics,2,150,CTF{m33t_m3_4t_m1dn1ght},8,0,,,,,"{""reportSection"":{""title"":""GIZLI BULUSMA MESAJI"",""type"":""document"",""content"":""Sifreli email cozuldu: Gece yarisi depoda buluş. Gonderici: elena.v@protonmail.com""},""boardSuspect"":{""name"":""Elena Vasquez"",""role"":""Rakip sirket ajani"",""motive"":""Henuz belirsiz""}}",2026-04-22 00:05:33.5336021
10,4,Sirket Web Sunucusu,Sirketin eski web sunucusuna erisin. SQL injection ile admin bypass.,Web,3,250,CTF{pr0j3ct_ph03n1x_d3l3t3d},9,0,,,,,"{""reportSection"":{""title"":""SILINEN PROJE BULUNDU"",""type"":""evidence"",""content"":""Project Phoenix adli dosya olumden 1 saat once silindi.""}}",2026-04-22 00:05:33.5509561
11,4,Sifreli Email,Maktulun email hesabinda sifreli mesaj. ROT13 veya Caesar cipher.,Crypto,4,200,CTF{financial_fraud_exposed},10,0,,,,,"{""reportSection"":{""title"":""MALI DOLANDIRICILIK"",""type"":""evidence"",""content"":""Sifreli mesaj cozuldu: John her seyi biliyor. Q3 raporunu imha et.""}}",2026-04-22 00:05:33.5666804
12,4,Katili Tespit Et,Tum delilleri topladınız. Katilin tam adini girin.,Final,5,800,CTF{Sarah_Johnson},11,0,,,,,"{""reportSection"":{""title"":""DAVA KAPATILDI"",""type"":""suspect"",""content"":""Sarah Johnson tutuklandı.""}}",2026-04-22 00:05:33.5835776
